Lighthouse Name,ARLHS Number,Status,State Province,Coordinates,Coordinates,Coordinates,Gridsquare,IOTA,# of Activations
"Forchu Head/Forchu Point Forchu Point/Forchu Head, NS",CAN 182,Hist -,Nova Scotia,45° 43.0' N,060° 14.0' W,Map,FN95vr,-,-
Fort Amherst,CAN 683,- -,Newfoundland and Labrador,47° 34.0' N,052° 41.0' W,Map,GN37pn,-,-
Fort Folly Point,CAN 910,Hist -,New Brunswick,-,-,-,-,-,-
"Fort Monckton/Port Elgin Port Elgin/Fort Monckton, NB H",CAN 183,Hist -,New Brunswick,-,-,-,-,-,2
Fort Point,CAN 746,Hist -,Newfoundland and Labrador,48° 22.0' N,053° 21.0' W,Map,GN38hi,-,-
Fort Point,CAN 184,- -,Nova Scotia,-,-,-,-,-,-
Fort Point (Old) Mouth of LaHave River,CAN 603,Hist -,Nova Scotia,-,-,-,-,-,1
Fort William (Ottawa River),CAN 970,Hist -,Quebec,-,-,-,-,-,-
Fortune Bay North (Wharf),CAN 185,- -,Newfoundland and Labrador,46° 20.0' N,062° 21.0' W,Map,FN86th,-,-
Fortune Head (Fortune Bay),CAN 1284,- -,Newfoundland and Labrador,47° 4.0' N,055° 52.0' W,Map,GN27bb,-,-
Fox Island (Lake Simcoe),CAN 1063,Hist -,Ontario,-,-,-,-,-,-
"Fraser River/Sands Heads Sands Heads/Fraser River, BC",CAN 446,Hist -,British Columbia,49° 6.0' N,123° 18.0' W,Map,CN89ic,-,-
"French Point/Musquodoboit Rear Range Musquodoboit Rear Range/French Point, NS",CAN 334,- -,Nova Scotia,44° 42.0' N,063° 5.0' W,Map,FN84kq,-,3
French River Inner Range Front,CAN 187,Hist -,Ontario,-,-,-,-,-,-
French River Inner Range Rear,CAN 188,- -,Ontario,-,-,-,-,-,-
Frenchman Bay (Lake Ontario),CAN 1064,Hist -,Ontario,-,-,-,-,-,-
Frenchman's Head,CAN 839,Hist -,Newfoundland and Labrador,49° 3.0' N,058° 10.0' W,Map,GN09vb,-,-
Gabarus,CAN 189,- -,Nova Scotia,45° 51.0' N,060° 9.0' W,Map,FN95wu,-,-
Gagetown,CAN 190,- -,New Brunswick,-,-,-,-,-,-
Gallia Bay Lower Range Front (St. Lawrence River),CAN 1005,Hist -,Quebec,-,-,-,-,-,-
Gallia Bay Lower Range Rear (St. Lawrence River),CAN 1006,Hist -,Quebec,-,-,-,-,-,-
Gallia Bay Upper Range Front (St. Lawrence River),CAN 1007,Hist -,Quebec,-,-,-,-,-,-
Gallia Bay Upper Range Rear (St. Lawrence River),CAN 951,Hist -,Quebec,46° 5.0' N,073° 1.0' W,Map,FN36lc,-,-
Gallows Point (Nanaimo Harbour),CAN 191,- -,British Columbia,-,-,-,-,-,-
Gananoque Harbour (St. Lawrence River),CAN 1451,- -,Ontario,44° 19.3' N,076° 9.8' W,Map,FN14wh,-,2
Gananoque Narrows (St. Lawrence River),CAN 1065,Hist -,Ontario,-,-,-,-,-,-
Gannet Rock,CAN 192,- -,New Brunswick,44° 30.0' N,066° 47.0' W,Map,FN64om,-,4
Gargantua (Lake Superior),CAN 1066,Hist -,Ontario,-,-,-,-,-,-
Garnish,CAN 685,Hist -,Newfoundland and Labrador,47° 14.0' N,055° 22.0' W,Map,GN27hf,-,-
Gaspé,CAN 971,Hist -,Quebec,-,-,-,-,-,-
Gentilly Front Range (St. Lawrence River),CAN 952,- -,Quebec,-,-,-,-,-,-
Gentilly Rear Range (St. Lawrence River),CAN 1261,- -,Quebec,-,-,-,-,-,-
"George Island Little George Island, , MB",CAN 845,- -,Manitoba,52° 49.2' N,097° 36.8' W,Map,EO12et,-,1
"George's Island/Halifax Harbour Inned Range Front Halifax Harbour Inner Range Front/George's Island, NS",CAN 193,- -,Nova Scotia,44° 38.0' N,063° 34.0' W,Map,FN84fp,NA-081,2
Georgetown Railway Wharf,CAN 194,Hist -,Prince Edward Island,46° 11.0' N,062° 32.0' W,Map,FN86re,-,-
"Georgetown Range (Front)/St. Andrews Point St. Andrews Point/Georgetown Front Range, PE",CAN 195,- -,Prince Edward Island,46° 10.0' N,062° 32.0' W,Map,FN86rd,-,-
Georgetown Range (Rear),CAN 196,Hist -,Prince Edward Island,46° 9.9' N,062° 32.2' W,Map,FN86rd,-,1
Gereaux Island,CAN 197,Hist -,Ontario,-,-,-,-,-,-
Giants Tomb Island,CAN 198,Hist -,Ontario,44° 52.8' N,080° 0.4' W,Map,EN94xv,-,-
Gibraltar Point,CAN 199,- -,Ontario,43° 36.8' N,079° 23.1' W,Map,FN03ho,-,1
"Gilbert's Cove/Gilbert's Point Gilbert's Point/Gilbert's Cove, NS",CAN 200,- -,Nova Scotia,-,-,-,-,-,1
Gillis Point,CAN 201,- -,Nova Scotia,46° 1.0' N,060° 46.0' W,Map,FN96oa,-,-
Gimli (Lake Winnipeg),CAN 846,Hist -,Manitoba,50° 38.0' N,096° 59.0' W,Map,EO10mp,-,4
Glace Bay North Breakwater,CAN 202,- -,Nova Scotia,46° 12.0' N,059° 57.0' W,Map,GN06ae,-,-
Glace Bay Range Front,CAN 1399,- -,Nova Scotia,46° 11.8' N,059° 56.9' W,Map,GN06ae,-,-
Glace Bay Range Front,CAN 957,Hist -,Nova Scotia,-,-,-,-,-,-
Glace Bay Range Rear,CAN 1400,- -,Nova Scotia,46° 11.8' N,059° 56.9' W,Map,GN06ae,-,-
Glace Bay Range Rear,CAN 897,Hist -,Nova Scotia,46° 12.0' N,059° 57.0' W,Map,GN06ae,-,-
Glasgow Point (Isle Madame),CAN 1215,Hist -,Nova Scotia,-,-,-,-,-,-
Glengarry Point (St. Lawrence River),CAN 1067,Hist -,Ontario,-,-,-,-,-,1
Goderich Light Station,CAN 546,- -,Ontario,-,-,-,-,-,9
Goderich North Breakwater (Lake Huron),CAN 1009,Hist -,Ontario,43° 45.0' N,081° 44.0' W,Map,EN93ds,-,2
Goderich North Pier Front (Lake Huron),CAN 1010,Hist -,Ontario,43° 45.0' N,081° 44.0' W,Map,EN93ds,-,3
Goderich North Pier Rear (Lake Huron),CAN 1011,Hist -,Ontario,43° 45.0' N,081° 44.0' W,Map,EN93ds,-,4
Goderich Range Rear (Lake Huron),CAN 1012,Hist -,Ontario,-,-,-,-,-,3
Goderich South Breakwater (Lake Huron),CAN 1013,Hist -,Ontario,43° 45.0' N,081° 44.0' W,Map,EN93ds,-,3
Goose Lake,CAN 911,Hist -,New Brunswick,-,-,-,-,-,-
"Gore Bay/Janet Head Janet Head/Gore Bay, ON",CAN 203,- -,Ontario,-,-,-,-,-,-
"Graeme Point/Pulteney Point Pulteney Point/Graeme Point, BC",CAN 420,- -,British Columbia,50° 38.0' N,127° 9.0' W,Map,CO60kp,-,-
"Graham Bay/Stillwater Park (Ottawa River) Stillwater Park/Graham Bay (Ottawa River), ON",CAN 1352,- -,Ontario,45° 21.2' N,075° 49.4' W,Map,FN25ci,-,27
Graham Pond (North Breakwater),CAN 204,- -,Prince Edward Island,46° 6.0' N,062° 27.0' W,Map,FN86sc,-,-
Graham Pond (South Breakwater),CAN 205,- -,Prince Edward Island,46° 6.0' N,062° 27.0' W,Map,FN86sc,-,-
Grand Anse,CAN 912,Hist -,New Brunswick,-,-,-,-,-,-
Grand Bank,CAN 686,Hist -,Newfoundland and Labrador,47° 6.0' N,055° 45.0' W,Map,GN27dc,-,-
Grand Bend,CAN 1422,- -,Ontario,43° 18.8' N,081° 46.1' W,Map,EN93ch,-,1
Grand Dune Flats Front Range,CAN 726,Hist -,New Brunswick,-,-,-,-,-,-
Grand Etang (Cape Breton Island),CAN 1216,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Grand Passage,CAN 206,Hist -,Nova Scotia,44° 17.0' N,066° 21.0' W,Map,FN64tg,-,1
Grand Tracadie (Wharf),CAN 207,- -,Prince Edward Island,46° 24.0' N,063° 2.0' W,Map,FN86lj,-,-
Grande Île Kamouraska (St. Lawrence River),CAN 972,Hist -,Quebec,-,-,-,-,-,-
Grande Rivière,CAN 778,Hist -,Quebec,48° 23.9' N,064° 30.2' W,Map,FN78rj,-,-
Grandique Point,CAN 208,Hist -,Nova Scotia,45° 36.0' N,061° 1.0' W,Map,FN95lo,-,-
Grant Beach Range Front,CAN 727,- -,New Brunswick,-,-,-,-,-,-
Grant Beach Range Rear,CAN 728,- -,New Brunswick,-,-,-,-,-,-
"Gravenhurst Narrows/Lighthouse Island (Lake Muskoka) Lighthouse Island/Gravenhurst Narrows (Lake Muskoka), ON",CAN 1031,- -,Ontario,44° 57.0' N,079° 24.0' W,Map,FN04hw,-,-
Great Bras d'Or Range Inner,CAN 209,Hist -,Nova Scotia,46° 17.0' N,060° 25.0' W,Map,FN96tg,-,-
Great Bras d'Or Range Outer,CAN 606,Hist -,Nova Scotia,46° 17.0' N,060° 25.0' W,Map,FN96tg,-,-
Great Duck Island,CAN 210,- -,New Brunswick,-,-,-,-,-,1
Great Duck Island (Lake Huron),CAN 1032,- -,Ontario,45° 39.0' N,082° 58.0' W,Map,EN85mp,-,-
Green Head (St. John River),CAN 817,- -,New Brunswick,-,-,-,-,-,-
Green Island (Catalina),CAN 687,- -,Newfoundland and Labrador,48° 30.0' N,053° 3.0' W,Map,GN38ll,-,-
Green Island (Chatham Sound),CAN 742,- -,British Columbia,54° 34.0' N,130° 42.0' W,Map,CO44pn,-,-
Green Island (Fortune Bay),CAN 658,- -,Newfoundland and Labrador,46° 52.0' N,056° 5.0' W,Map,GN16xu,-,-
Green Island (New) (Cape Breton Island),CAN 211,- -,Nova Scotia,-,-,-,-,NA-010,-
Green Island (Old) (Cape Breton Island),CAN 1370,Hist -,Nova Scotia,-,-,-,-,NA-010,-
Green Island (Yarmouth),CAN 212,Hist -,Nova Scotia,-,-,-,-,-,-
"Green Island/Île Verte (St. Lawrence River) Île Verte/Green Island (St. Lawrence River), QC",CAN 244,- -,Quebec,48° 3.1' N,069° 25.5' W,Map,FN58gb,-,5
Green Shoal (Ottawa River) Beacon Hill,CAN 811,- -,Ontario,45° 28.4' N,075° 35.7' W,Map,FN25el,-,4
"Green's Point/l'Etete Passage (Bay of Fundy) l'Etete Passage/Green's Point (Bay of Fundy), NB",CAN 214,Hist -,New Brunswick,45° 2.3' N,066° 53.5' W,Map,FN65na,-,2
Greenly Island,CAN 213,- -,Quebec,51° 22.5' N,057° 11.4' W,Map,GO11ji,-,-
Gregory Island,CAN 215,- -,Nova Scotia,45° 43.0' N,060° 48.0' W,Map,FN95or,-,-
Grenadier Island (St. Lawrence River),CAN 818,- -,Ontario,-,-,-,-,-,-
Griffith Island (Georgian Bay),CAN 216,Hist -,Ontario,-,-,-,-,-,-
Grimsby Breakwater,CAN 1417,- -,Ontario,43° 12.3' N,079° 33.0' W,Map,FN03fe,-,6
Grindstone Island,CAN 711,- -,New Brunswick,45° 43.3' N,064° 37.2' W,Map,FN75qr,-,3
Grondines Front Range (St. Lawrence River),CAN 953,Hist -,Quebec,46° 35.1' N,072° 5.9' W,Map,FN36wo,-,-
Grondines Rear Range (St. Lawrence River),CAN 954,Hist -,Quebec,46° 35.8' N,072° 4.7' W,Map,FN36xo,-,-
Gros Cap Reef Light (Lake Superior),CAN 565,Hist -,Ontario,-,-,-,-,-,1
Grosse Roche (Saguenay River),CAN 819,Hist -,Quebec,48° 13.1' N,069° 52.6' W,Map,FN58bf,-,-
Gull Cove (Whitehead Island),CAN 739,Hist -,New Brunswick,-,-,-,-,NA-126,1
Gull Harbour (New) (Hecla Island Lake Winnipeg),CAN 848,- -,Manitoba,51° 12.0' N,096° 36.0' W,Map,EO11qe,-,3
Gull Harbour (Old) (Hecla Island Lake Winnipeg),CAN 847,- -,Manitoba,51° 12.0' N,096° 36.0' W,Map,EO11qe,-,3
Gull Island (Cape St. John),CAN 660,Hist -,Newfoundland and Labrador,50° 0.0' N,055° 22.0' W,Map,GO20ha,-,-
Gull Island (Lake Winnipeg),CAN 737,- -,Manitoba,-,-,-,-,-,-
Gull Rock (Lockeport),CAN 217,Hist -,Nova Scotia,-,-,-,-,-,1
Gunning Point Island,CAN 218,- -,Nova Scotia,44° 22.0' N,064° 12.0' W,Map,FN74vi,-,1
Guyon Island,CAN 219,- -,Nova Scotia,45° 46.0' N,060° 7.0' W,Map,FN95ws,-,-
Guysborough,CAN 220,- -,Nova Scotia,45° 22.0' N,061° 28.0' W,Map,FN95gi,-,-
Guysborough (Old) (Peart Point),CAN 1217,Hist -,Nova Scotia,-,-,-,-,-,-
Halifax Harbour Inner Range Rear,CAN 610,- -,Nova Scotia,44° 38.0' N,063° 34.0' W,Map,FN84fp,-,2
Halifax Harbour Middle Range Front,CAN 1420,- -,Nova Scotia,44° 36.8' N,063° 32.2' W,Map,FN84fo,-,-
Halifax Harbour Middle Range Rear,CAN 1421,- -,Nova Scotia,44° 37.0' N,063° 32.2' W,Map,FN84fo,-,-
Halifax Lightship (LV 19),CAN 885,Hist -,Nova Scotia,-,-,-,-,-,-
Halls Harbour,CAN 614,Hist -,Nova Scotia,45° 12.0' N,064° 37.0' W,Map,FN75qe,-,1
Hamilton Island (St. Lawrence River),CAN 1068,Hist -,Ontario,-,-,-,-,-,1
Hampstead Wharf,CAN 221,Hist -,New Brunswick,-,-,-,-,-,-
Hampton,CAN 222,- -,Nova Scotia,44° 54.0' N,065° 21.0' W,Map,FN74hv,-,1
Hant's Harbour,CAN 688,Hist -,Newfoundland and Labrador,48° 1.0' N,053° 15.0' W,Map,GN38ja,-,-
Harbour Island (Country Harbour),CAN 1218,Hist -,Nova Scotia,-,-,-,-,-,-
Harbour Island (Penguin),CAN 689,Hist -,Newfoundland and Labrador,47° 23.0' N,056° 59.0' W,Map,GN17mj,-,-
"Harbour Point/Sandy Point Sandy Point/Harbour Point, NF",CAN 690,- -,Newfoundland and Labrador,48° 27.0' N,058° 29.0' W,Map,GN08sk,-,-
Harbourville,CAN 630,Hist -,Nova Scotia,45° 9.0' N,064° 48.0' W,Map,FN75od,-,1
Harper Point,CAN 913,Hist -,New Brunswick,-,-,-,-,-,-
Haszard Point Range Front (Tea Hill),CAN 128,Hist -,Prince Edward Island,46° 12.0' N,063° 4.0' W,Map,FN86le,-,1
Haszard Point Range Rear (Tea Hill),CAN 129,Hist -,Prince Edward Island,46° 12.0' N,063° 4.0' W,Map,FN86le,-,1
"Haut-Fond Prince/Prince Shoal Prince Shoal/Haut-Fond Prince, QC",CAN 223,- -,Quebec,48° 6.5' N,069° 36.9' W,Map,FN58ec,-,2
Havre Boucher Inner Range,CAN 609,- -,Nova Scotia,45° 41.0' N,061° 32.0' W,Map,FN95fq,-,-
Havre Boucher Outer Range,CAN 224,Hist -,Nova Scotia,45° 41.0' N,061° 32.0' W,Map,FN95fq,-,1
"Hawk Island/Poulamon (Cape Breton Island) Poulamon/Hawk Island (Cape Breton Island), NS",CAN 1213,Hist -,Nova Scotia,45° 36.0' N,061° 0.0' W,Map,FN95lo,NA-010,-
"Hawke Bay/Red Island Red Island/Hawke Bay, NF H",CAN 1357,Hist -,Newfoundland and Labrador,-,-,-,-,-,-
Hay Island Front Range,CAN 914,Hist -,New Brunswick,-,-,-,-,-,-
Hay Island Rear Range,CAN 915,Hist -,New Brunswick,-,-,-,-,-,-
Hearts Content,CAN 543,- -,Newfoundland and Labrador,47° 53.0' N,053° 23.0' W,Map,GN37hv,-,-
Heath Point (Anticosti Island),CAN 226,- -,Quebec,49° 5.1' N,061° 42.0' W,Map,FN99dc,-,-
"Hendry Farm/Washademoak/Lake North Lake North/Hendry Farm/Washademoak, NB : Washademoak/Lake North/Hendry Farm, NB",CAN 520,Hist -,New Brunswick,-,-,-,-,-,-
Henry Island,CAN 227,Hist -,Nova Scotia,45° 59.0' N,061° 36.0' W,Map,FN95ex,-,-
Heron Island,CAN 916,Hist -,New Brunswick,-,-,-,-,-,-
Herring Cove,CAN 880,- -,Nova Scotia,44° 34.0' N,063° 33.0' W,Map,FN84fn,-,-
"Hobson Island/Hobson Nose (Mahone Bay) Hobson Nose/Hobson Island (Mahone Bay), NS H",CAN 1219,Hist -,Nova Scotia,-,-,-,-,-,-
Hog Island (Port Felix),CAN 228,Hist -,Nova Scotia,45° 14.0' N,061° 13.0' W,Map,FN95jf,-,-
Holland Rock,CAN 229,Hist -,British Columbia,54° 10.0' N,130° 22.0' W,Map,CO44te,-,-
Hope Island,CAN 230,Hist -,Ontario,44° 54.9' N,080° 9.9' W,Map,EN94wv,-,-
Horton Bluff Range Front,CAN 231,- -,Nova Scotia,45° 7.0' N,064° 14.0' W,Map,FN75vc,-,1
Horton Bluff Range Rear,CAN 613,- -,Nova Scotia,45° 7.0' N,064° 14.0' W,Map,FN75vc,-,-
Howards Cove (Seal Point),CAN 232,- -,Prince Edward Island,46° 44.0' N,064° 23.0' W,Map,FN76tr,-,2
Hubbards Cove,CAN 863,Hist -,Nova Scotia,44° 37.0' N,064° 3.0' W,Map,FN74xo,-,-
"Huestis Island/Lower Jemseg Lower Jemseg/Huestis Island, NB",CAN 233,Hist -,New Brunswick,-,-,-,-,-,-
Ile à l'Aigle Front Range (St. Lawrence River),CAN 1139,Hist -,Quebec,-,-,-,-,-,-
Ile à l'Aigle Rear Range (St. Lawrence River),CAN 1089,Hist -,Quebec,-,-,-,-,-,-
Ile aux Allumettes (Ottawa River),CAN 1090,Hist -,Quebec,-,-,-,-,-,-
"Île aux Coudres/Pointe de la Prairie Pointe de la Prairie/Île aux Coudres, QC",CAN 234,- -,Quebec,47° 24.6' N,070° 25.9' W,Map,FN47sj,-,2
Île aux Grues (St. Lawrence River),CAN 973,Hist -,Quebec,-,-,-,-,-,1
Île aux Oeufs,CAN 235,- -,Quebec,49° 37.3' N,067° 10.5' W,Map,FN69jo,-,-
Île aux Perroquets,CAN 236,- -,Quebec,50° 13.2' N,064° 12.4' W,Map,FO70vf,-,-
Ile aux Prunes (St. Lawrence River),CAN 1091,Hist -,Quebec,-,-,-,-,-,-
Ile aux Raisins Front Range (St. Lawrence River),CAN 1092,Hist -,Quebec,-,-,-,-,-,-
Île Bicquette,CAN 237,Hist -,Quebec,48° 24.9' N,068° 53.6' W,Map,FN58nj,-,-
Île Blanche Pillar (St. Lawrence River),CAN 974,Hist -,Quebec,-,-,-,-,-,1
Ile Bouchard Front Range (St. Lawrence River),CAN 1093,Hist -,Quebec,-,-,-,-,-,-
Ile Bouchard Rear Range (St. Lawrence River),CAN 1262,- -,Quebec,-,-,-,-,-,-
Ile Brion (Magdalen Islands),CAN 774,- -,Quebec,47° 46.9' N,061° 30.5' W,Map,FN97fs,-,-
Ile de Grâce (St. Lawrence River),CAN 1094,Hist -,Quebec,-,-,-,-,-,-
Ile de Grâce Front Range (St. Lawrence River),CAN 1095,Hist -,Quebec,-,-,-,-,-,-
Ile de Grâce Rear Range (St. Lawrence River),CAN 1096,Hist -,Quebec,-,-,-,-,-,-
Ile des Barques Front Range (St. Lawrence River),CAN 1097,Hist -,Quebec,-,-,-,-,-,-
Ile des Barques Rear Range (St. Lawrence River)*,CAN 1098,Hist -,Quebec,-,-,-,-,-,-
Ile Deslauriers Front Range (St. Lawrence R.),CAN 1099,Hist -,Quebec,-,-,-,-,-,-
Ile Deslauriers Rear Range (St. Lawrence River),CAN 1100,Hist -,Quebec,-,-,-,-,-,-
Île du Moine Front Range (St. Lawrence River),CAN 1101,Hist -,Quebec,46° 4.0' N,073° 1.5' W,Map,FN36lb,-,1
Ile du Moine Rear Range (St. Lawrence River),CAN 1102,Hist -,Quebec,46° 4.0' N,073° 1.1' W,Map,FN36lb,-,1
Ile Dupas Front Range (St. Lawrence River),CAN 1103,Hist -,Quebec,-,-,-,-,-,-
Ile Dupas Rear Range (St. Lawrence River),CAN 1104,Hist -,Quebec,-,-,-,-,-,-
Île Greenly,CAN 975,Hist -,Quebec,-,-,-,-,-,-
Île Haute,CAN 241,- -,Nova Scotia,45° 15.0' N,065° 0.0' W,Map,FN75lf,-,-
Île Lapierre (St. Lawrence River),CAN 976,Hist -,Quebec,-,-,-,-,-,-
Île Parisienne,CAN 567,- -,Ontario,46° 38.7' N,084° 43.4' W,Map,EN76pp,-,-
"Île Plate (Percé)/Point Peter Point Peter/Ile Plate (Percé), QC H",CAN 782,Hist -,Quebec,48° 37.6' N,064° 9.4' W,Map,FN78wp,-,-
Ile Richelieu (St. Lawrence River),CAN 1105,- -,Quebec,46° 38.6' N,071° 54.5' W,Map,FN46bp,-,5
"Île Ronde Range Rear/Île Sainte-Hélène Île Sainte-Hélène/Île Ronde Range Rear, QC",CAN 977,- -,Quebec,-,-,-,-,-,-
Ile Rosalie (Ottawa River),CAN 1106,Hist -,Quebec,-,-,-,-,-,1
"Ile Rouge/Red Islet/Phare de l'Île Rouge Phare de l'Île Rouge/Ile Rouge/Red Islet, QC : Red Islet/Phare de l'Île Rouge/Ile Rouge, QC",CAN 245,- -,Quebec,48° 4.2' N,069° 33.3' W,Map,FN58fb,-,1
Ile Sainte Thérèse Lower Rear Range (St. Lawrence River),CAN 1111,Hist -,Quebec,-,-,-,-,-,-
"Île Sainte-Marie/St. Mary Island St. Mary Island/Ile Sainte-Marie, QC H",CAN 243,Hist -,Quebec,50° 18.2' N,059° 39.4' W,Map,GO00eh,-,-
Ile St. Ours Course Front Range (St. Lawrence River),CAN 1107,Hist -,Quebec,-,-,-,-,-,-
Ile St. Ours Course Rear Range (St. Lawrence River),CAN 1108,Hist -,Quebec,-,-,-,-,-,-
Ile St. Ours Traverse Front Range (St. Lawrence River),CAN 1109,Hist -,Quebec,-,-,-,-,-,-
Ile St. Ours Traverse Rear Range (St. Lawrence River),CAN 1110,Hist -,Quebec,-,-,-,-,-,-
Iles de Mai (Gulf of St. Lawrence),CAN 1112,Hist -,Quebec,-,-,-,-,-,-
Inch Aaron Range Rear,CAN 1409,- -,New Brunswick,48° 1.7' N,066° 21.1' W,Map,FN68ta,-,-
Inch Arron Point Range Front,CAN 246,Hist -,New Brunswick,-,-,-,-,-,-
Indian Harbour,CAN 247,Hist -,Nova Scotia,44° 31.0' N,063° 57.0' W,Map,FN84am,-,1
Indian Head (Breakwater),CAN 248,Hist -,Prince Edward Island,46° 23.0' N,063° 49.0' W,Map,FN86cj,-,2
Indian Point Front Range (Cape Tormentine),CAN 249,- -,New Brunswick,-,-,-,-,-,-
Indian Point Rear Range (Cape Tormentine),CAN 250,- -,New Brunswick,-,-,-,-,-,1
"Indian Point Rear Range/Pointe à Jérome Rear Range (Bouctouche) Jerome Point Rear Range/Pointe à Jérome Rear Range, NB : Pointe à Jérome Rear Range/Indian Point Rear Range (Bouctouche), NB",CAN 730,- -,New Brunswick,-,-,-,-,-,-
"Indian Tickle/White Point (Rocky Bay) White Point/Indian Tickle (Rocky Bay), NF H",CAN 1360,Hist -,Newfoundland and Labrador,-,-,-,-,-,-
Ingonish Ferry,CAN 753,Hist -,Nova Scotia,46° 38.0' N,060° 23.0' W,Map,FN96tp,-,-
Ingonish Harbour (Old) (Cape Breton Island),CAN 1220,Hist -,Nova Scotia,-,-,-,-,-,-
Ingonish Island (Cape Breton Island),CAN 1221,Hist -,Nova Scotia,46° 41.0' N,060° 20.3' W,Map,FN96tq,-,-
Iona (Uniacke Point),CAN 1222,Hist -,Nova Scotia,-,-,-,-,-,-
Ireland Island (La Poile Bay),CAN 840,Hist -,Newfoundland and Labrador,47° 38.0' N,058° 22.0' W,Map,GN07tp,-,-
Issac's Harbour,CAN 251,- -,Nova Scotia,45° 10.0' N,061° 39.0' W,Map,FN95ee,-,-
Ivory Island,CAN 252,- -,British Columbia,52° 16.0' N,128° 26.0' W,Map,CO52sg,-,-
Jackstraw Shoal (St. Lawrence River),CAN 1069,Hist -,Ontario,-,-,-,-,-,1
Janvrin Shoal,CAN 1118,Hist -,Quebec,-,-,-,-,-,-
Jeddore Harbour Front Range,CAN 1223,Hist -,Nova Scotia,-,-,-,-,-,-
Jeddore Harbour Rear Range,CAN 1224,Hist -,Nova Scotia,-,-,-,-,-,-
Jeddore Rock,CAN 254,- -,Nova Scotia,44° 40.0' N,063° 1.0' W,Map,FN84lq,-,1
Jemseg,CAN 917,Hist -,New Brunswick,-,-,-,-,-,-
Jerome Point,CAN 255,Hist -,Nova Scotia,45° 39.0' N,060° 52.0' W,Map,FN95np,-,-
Jerseyman Island,CAN 256,- -,Nova Scotia,45° 30.0' N,061° 3.0' W,Map,FN95ll,-,-
Joggins (Chignecto Bay),CAN 1234,Hist -,Nova Scotia,-,-,-,-,-,-
Jones Island Range Front (Georgian Bay),CAN 1033,- -,Ontario,45° 19.0' N,080° 17.0' W,Map,EN95uh,-,-
Jones Island Range Rear (Georgian Bay),CAN 257,- -,Ontario,45° 19.0' N,080° 17.0' W,Map,EN95uh,-,-
Jordan (Jordan River),CAN 1225,Hist -,Nova Scotia,-,-,-,-,-,-
Jordan Harbour,CAN 1441,- -,-,-,-,-,-,-,1
Jourimain Island,CAN 258,- -,New Brunswick,46° 9.3' N,063° 48.2' W,Map,FN86cd,-,2
Kagawong,CAN 259,- -,Ontario,45° 54.6' N,082° 15.6' W,Map,EN85uv,-,1
"Kains/Quatsino Quatsino/Kains, BC",CAN 423,- -,British Columbia,50° 27.0' N,128° 2.0' W,Map,CO50xk,-,-
Kaministikia River (Thunder Bay),CAN 814,- -,Ontario,-,-,-,-,-,-
"Kaministikia/Kaministiquia (Thunder Bay) Kaministiquia/Kaministikia (Thunder Bay), ON",CAN 813,- -,Ontario,-,-,-,-,-,-
Kaulbach Island Range Front,CAN 260,- -,Nova Scotia,44° 28.0' N,064° 17.0' W,Map,FN74ul,-,1
Kaulbach Island Range Rear,CAN 861,- -,Nova Scotia,44° 28.0' N,064° 17.0' W,Map,FN74ul,-,1
Keppel Island,CAN 661,Hist -,Newfoundland and Labrador,50° 38.0' N,057° 19.0' W,Map,GO10ip,-,-
Ketch Harbour,CAN 1332,Hist -,Nova Scotia,-,-,-,-,-,-
Kidston Island,CAN 261,- -,Nova Scotia,46° 6.0' N,060° 45.0' W,Map,FN96pc,-,1
Kidston Island West End,CAN 862,- -,Nova Scotia,46° 6.0' N,060° 45.0' W,Map,FN96pc,-,-
Killarney East,CAN 262,- -,Ontario,45° 58.1' N,081° 29.6' W,Map,EN95gx,-,1
Killarney West,CAN 263,- -,Ontario,-,-,-,-,-,-
Kincardine Front Range (Lake Huron),CAN 812,Hist -,Ontario,-,-,-,-,-,2
Kincardine/Kincardine Rear Range (Lake Huron),CAN 264,- -,Ontario,-,-,-,-,-,4
King's Cove Head,CAN 662,Hist -,Newfoundland and Labrador,48° 35.0' N,053° 19.0' W,Map,GN38io,-,-
Kingsport (Canning River),CAN 894,Hist -,Nova Scotia,-,-,-,-,-,-
Kingston (St. Lawrence River),CAN 1070,Hist -,Ontario,-,-,-,-,-,1
Kingsville (Lake Erie),CAN 756,Hist -,Ontario,-,-,-,-,-,-
Knapp Point (St. Lawrence River),CAN 1034,Hist -,Ontario,-,-,-,-,-,1
La Haye Point Light,CAN 1445,- -,-,46° 54.3' N,053° 37.0' W,Map,GN36ev,-,-
"La Martre de Gaspé/Phare de la Martre (St. Lawrence River) Phare de la Martre/La Martre de Gaspé (St. Lawrence River), QC",CAN 266,- -,Quebec,49° 12.4' N,066° 10.3' W,Map,FN69ve,-,1
La Pérade Range Rear (St. Lawrence River),CAN 1140,- -,Quebec,46° 34.0' N,072° 11.0' W,Map,FN36vn,-,-
Lachine Front Range,CAN 268,- -,Quebec,45° 25.9' N,073° 41.7' W,Map,FN35dk,-,-
Lachine Rear Range,CAN 267,- -,Quebec,45° 26.0' N,073° 41.5' W,Map,FN35dk,-,-
Lamb Island (Lake Superior),CAN 757,Hist -,Ontario,-,-,-,-,-,-
Lancaster Bar (St. Lawrence River),CAN 1071,Hist -,Ontario,-,-,-,-,-,2
